n,gamma
1,14.134725141734695
2,21.022039638771556
3,25.01085758014569
4,30.424876125859512
5,32.93506158773919
6,37.586178158825675
7,40.9187190121475
8,43.327073280915
9,48.00515088116716
10,49.7738324776723
11,52.970321477714464
12,56.44624769706339
13,59.34704400260235
14,60.83177852460981
15,65.1125440480816
16,67.07981052949417
17,69.54640171117398
18,72.0671576744819
19,75.70469069908393
20,77.1448400688748
21,79.33737502024937
22,82.91038085408603
23,84.73549298051705
24,87.42527461312523
25,88.80911120763446
26,92.49189927055849
27,94.65134404051989
28,95.87063422824531
29,98.83119421819369
30,101.31785100573138
31,103.72553804047834
32,105.44662305232609
33,107.1686111842764
34,111.02953554316967
35,111.87465917699264
36,114.32022091545271
37,116.22668032085755
38,118.79078286597621
39,121.37012500242065
40,122.94682929355258
41,124.25681855434577
42,127.5166838795965
43,129.57870419995606
44,131.08768853093267
45,133.4977372029976
46,134.75650975337388
47,138.11604205453344
48,139.7362089521214
49,141.12370740402113
50,143.11184580762063
51,146.0009824867655
52,147.42276534255961
53,150.05352042078488
54,150.92525761224147
55,153.0246938111989
56,156.11290929423788
57,157.59759181759406
58,158.8499881714205
59,161.18896413759603
60,163.030709687182
61,165.5370691879004
62,167.1844399781745
63,169.09451541556882
64,169.9119764794117
65,173.41153651959155
66,174.75419152336573
67,176.44143429771043
68,178.37740777609997
69,179.916484020257
70,182.20707848436646
71,184.8744678483875
72,185.59878367770747
73,187.22892258350186
74,189.41615865601693
75,192.0266563607138
76,193.0797266038457
77,195.26539667952923
78,196.87648184095832
79,198.01530967625192
80,201.2647519437038
81,202.49359451414054
82,204.18967180310455
83,205.3946972021633
84,207.90625888780622
85,209.57650971685626
86,211.6908625953653
87,213.34791935971268
88,214.54704478349143
89,216.1695385082637
90,219.0675963490214
91,220.714918839314
92,221.43070555469333
93,224.00700025460432
94,224.9833246695823
95,227.4214442796793
96,229.33741330552536
97,231.25018870049917
98,231.98723525318024
99,233.6934041789083
100,236.5242296658162
101,237.7698204809252
102,239.55547757332764
103,241.04915779621658
104,242.8232719342226
105,244.07089849707816
106,247.1369900748975
107,248.10199006014847
108,249.5736896447072
109,251.014947795016
110,253.06998674799948
111,255.30625645491403
112,256.38071369443446
113,258.6104394915314
114,259.874406989678
115,260.8050845045969
116,263.57389390487015
117,265.55785183887633
118,266.6149737815011
119,267.92191508282406
120,269.9704490239976
121,271.494055641645
122,273.4596091884033
123,275.58749264934386
124,276.4520495031329
125,278.25074352984194
126,279.22925092774517
127,282.4651147650521
128,283.2111857332339
129,284.83596398090475
130,286.6674453630029
131,287.9119205014222
132,289.5798549292188
133,291.8462913290674
134,293.5584341393563
135,294.9653696192655
136,295.57325487895827
137,297.97927706194344
138,299.8403260537213
139,301.64932546219416
140,302.6967495896069
141,304.8643713408573
142,305.7289126020368
143,307.2194961281701
144,310.1094631467019
145,311.165141530356
146,312.4278011806009
147,313.9852857311589
148,315.47561608947575
149,317.7348059423702
150,318.8531042563166
151,321.1601343091136
152,322.14455867248296
153,323.4669695575121
154,324.8628660517396
155,327.44390126190547
156,329.03307168048093
157,329.9532397282339
158,331.4744675826634
159,333.64537852486984
160,334.2113548332444
161,336.84185042839067
162,338.3399928508066
163,339.85821672536355
164,341.04226111104657
165,342.0548775103636
166,344.6617029402523
167,346.34787056600993
168,347.2726775844205
169,349.31626087069617
170,350.4084193491921
171,351.87864902535927
172,353.4889004887188
173,356.0175749772649
174,357.1513022520396
175,357.95268510163226
176,359.74375495311443
177,361.28936169580464
178,363.33133057897385
179,364.736024114089
180,366.2127102883313
181,367.9935754817403
182,368.96843809573437
183,370.050919212106
184,373.06192837211285
185,373.86487391090856
186,375.82591276673935
187,376.32409223066804
188,378.4366802499655
189,379.87297534653237
190,381.4844686171865
191,383.44352944953647
192,384.95611681486366
193,385.86130084597426
194,387.222890222388
195,388.84612835423223
196,391.45608356363806
197,392.2450833395191
198,393.427743844434
199,395.5828700109937
200,396.3818542225922
201,397.9187362096142
202,399.9851198761949
203,401.8392286005332
204,402.86191776388614
205,404.236441800208
206,405.13438745990993
207,407.5814603868962
208,408.9472455023511
209,410.51386919336665
210,411.9722678042788
211,413.26273607018504
212,415.01880975515513
213,415.4552149962946
214,418.3877057895348
215,419.8613648181523
216,420.6438276250418
217,422.07671005882673
218,423.7165796274818
219,425.06988249446135
220,427.2088250840746
221,428.12791407661666
222,430.3287454309386
223,431.3013069307036
224,432.1386417345886
225,433.88921848092724
226,436.16100643264696
227,437.5816981676686
228,438.6217386562722
229,439.91844221437066
230,441.68319920118904
231,442.90454630260945
232,444.31933627755916
233,446.8606226964295
234,447.4417041944933
235,449.1485456850233
236,450.1269457803135
237,451.4033084453888
238,453.9867378066779
239,454.9746837686168
240,456.32842668924604
241,457.903893064103
242,459.513415281106
243,460.08794442217584
244,462.06536727488253
245,464.05728691054827
246,465.6715392113711
247,466.5702869308262
248,467.43904621026167
249,469.53600455911203
250,470.77365547810166
251,472.7991746619088
252,473.8352323451397
253,475.6003393693758
254,476.7690152374845
255,478.07526376667096
256,478.9421815346348
257,481.8303393762866
258,482.8347827909824
259,483.8514272124825
260,485.539148129356
261,486.52871826165125
262,488.38056709001745
263,489.66176157795616
264,491.398821593663
265,493.3144415817853
266,493.9579978053695
267,495.3588288221313
268,496.4296962157591
269,498.58078242968656
270,500.3090849416905
271,501.6044469651455
272,502.27627032711825
273,504.49977331342774
274,505.41523174224443
275,506.46415270952355
276,508.8007003364678
277,510.26422794367284
278,511.5622897003746
279,512.6231445314074
280,513.6689855554737
281,515.4350571672994
282,517.5896685724674
283,518.2342231475501
284,520.1063104117233
285,521.525193449492
286,522.4566961777302
287,523.9605308920159
288,525.0773856872796
289,527.9036416012724
290,528.4062138522927
291,529.8062263187069
292,530.866917883961
293,532.6881830282937
294,533.7796307537687
295,535.6643140758732
296,537.0697590831223
297,538.4285261762479
298,540.2131663762282
299,540.6313902472951
300,541.8474371212013
301,544.3238901010053
302,545.6368332489349
303,547.0109120581222
304,547.9316133644893
305,549.4975675626614
306,550.9700100394839
307,552.0495722005649
308,553.7649721191589
309,555.7920205616825
310,556.8994764068553
311,557.5646591720586
312,559.3162370286822
313,560.2408074972957
314,562.5592076160458
315,564.1608791107861
316,564.5060559381499
317,566.698787682808
318,567.7317579011769
319,568.9239551796294
320,570.0511147824636
321,572.4199841324528
322,573.6146105267582
323,575.0938860144948
324,575.8072471409288
325,577.0390034720982
326,579.0988346720366
327,580.1369593623846
328,581.9465762659016
329,583.2360882191673
330,584.5617059034655
331,585.9845632049883
332,586.7427718912502
333,588.1396632662479
334,590.6603975167653
335,591.7258580650481
336,592.5713583002256
337,593.974714682231
338,595.728153697389
339,596.3627683283937
340,598.4930773461648
341,599.5456403643649
342,601.6021367359326
343,602.5791678863874
344,603.6256189035792
345,604.6162184937532
346,606.383460422109
347,608.4132173111873
348,609.3895751547201
349,610.8391629377394
350,611.7742096208872
351,613.5997786756371
352,614.6462378722326
353,615.538563369407
354,618.1128313664424
355,619.1844825979537
356,620.2728936722275
357,621.7092945279486
358,622.375002739779
359,624.2699000181779
360,626.0192834276544
361,627.268396850783
362,628.3258623594604
363,630.4738874382921
364,630.8057809271976
365,632.2251411671159
366,633.5468582522518
367,635.5238003106055
368,637.3971931598373
369,637.9255139808225
370,638.9279382668568
371,640.6947946688257
372,641.9454996657053
373,643.2788837813979
374,644.990578229748
375,646.3481915955016
376,647.7617530042888
377,648.7864008887824
378,650.1975193452564
379,650.668683891396
380,653.6495716053947
381,654.3019205863194
382,655.7094630223556
383,656.9640845994606
384,658.1756144186054
385,659.663845972964
386,660.7167325952793
387,662.2965864311004
388,664.244604652273
389,665.342763095599
390,666.5151477041729
391,667.1484948945555
392,668.9758488202351
393,670.3235852058626
394,672.4581835841698
395,673.0435782861476
396,674.3558978101232
397,676.1396743636268
398,677.230180668764
399,677.8004447462214
400,679.7421978825282
